algoritmo,timestamp_simulado,total_transacciones,tx_incluidas,gas_usado,utilidad_total,fragmentacion,lead_time_promedio_s,tiempo_ejecucion_s
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0178
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0097
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0157
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.016
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.016
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0141
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.014
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0139
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0106
greedy_clasico,1752451226239,1000,212,29996390,780952740250827125,3610,8.09,0.0158
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.5155
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.4977
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.4539
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.5192
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.4598
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.4559
heuristico,1752451226239,1000,54,29994571,840342885298924983,5429,8.838,1.4354
